text,source_language,target_language
Perfekt,fr,de
"Insgesamt war die Unterkunft angenehm. Es gab nur ein paar Mängel: kleiner Esstisch, Decke nicht fertig, Batterien ... Der Ort war ruhig und zugänglich. Wir hatten einen angenehmen Aufenthalt und haben gut geschlafen.",fr,de
"Wir hatten einen sehr angenehmen Aufenthalt, auch wenn die Sauberkeit des Zimmers bei unserer Ankunft nicht makellos war. Außerdem hätten wir gerne im Voraus gewusst, dass wir die Unterkunft mit anderen Reisenden teilen würden.<br/>Ansonsten sind die Gastgeber sehr hilfsbereit und aufmerksam und die Unterkunft ist sehr gut an die öffentlichen Verkehrsmittel angebunden. Ich empfehle Projekt A!",fr,de
"Perfekter Aufenthalt, empfehle ich!",fr,de
"Ausgezeichneter Aufenthalt, ausgezeichneter Gastgeber, ich empfehle!",fr,de
"Vielen Dank an Heike und Heinrich für den Aufenthalt. <br/>Die Wohnung war sauber und ausgestattet, sehr gut mit dem Bus erreichbar, um überall in Berlin hinzukommen. Wir empfehlen diesen Ort wärmstens, wenn Sie ruhig und dennoch nah am Trubel der Stadt sein möchten.",fr,de
"Der Gastgeber war sehr aufmerksam und die Anweisungen zur Unterkunft waren klar. Die Wohnung ist sehr schön, 2 Schritte von der Bushaltestelle entfernt. Die Reinigung war in Ordnung, bis auf das Badezimmer, das zwar nicht so toll, aber ausreichend war. Ich empfehle diese Wohnung zu 100 %!",fr,de
Hervorragende Wohnung in einer tollen Gegend;  alle Annehmlichkeiten in der Nähe. Marine hat uns sehr herzlich empfangen und gut beraten. Ich empfehle 100%!,fr,de
"Wir hatten einen schönen Aufenthalt in dieser Wohnung. Die Lage ist sehr gut für einen Drink oder für die Restaurants. Wir waren dennoch überrascht, dass es nur ein Zimmer gab und in der Anzeige eine Kapazität von 7 Personen angegeben war; 3 von uns waren gut! Ansonsten ist die Wohnung zweckmäßig und gut ausgestattet. Vielen Dank für die Flexibilität bei der Ankunft, unser Gepäck früher abgeben zu können!",fr,de
"Toller Aufenthalt, sehr praktisch: Nähe zur Straßenbahn und zum Edeka! <br/>Nüchterne Dekoration und anpassbare Lichtstimmung, ein Genuss!",fr,de
